id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away,target_1x2,tendencia_xg_home,tendencia_xg_away,diff_xg_10_h_vs_a,prob_empate,prob_local,prob_visita
20250524_Espanyol_Las Palmas,2025-05-24 16:30:00,ESP-La Liga,2425,Espanyol,Las Palmas,1,2,0,1.72167,0.735505,1.2146838,1.4258254,-0.2111416000000001,1.2038142,1.1264797,0.0773345,0.9968307427917508,Las Palmas,Espanyol,0,0,2,0.735505,1.72167,0.8923834000000002,1.46259,-0.5702065999999999,1.0997684,1.5078444999999998,-0.4080760999999997,0.9092815275638692,1.44,5.12,6.73,1,-0.2884761000000001,-0.16213050000000018,0.10404579999999997,0.31787705,0.45792818,0.22419475
20250524_Leganes_Real Valladolid,2025-05-24 16:30:00,ESP-La Liga,2425,Leganes,Real Valladolid,1,3,0,1.74736,0.479375,1.0893024,1.4962952,-0.4069928,1.3177356,1.8246476,-0.5069119999999998,0.9106524020050744,Real Valladolid,Leganes,0,0,3,0.479375,1.74736,1.3093314,1.805904,-0.4965725999999999,1.1817026,2.140198,-0.9584954,0.6769887135826615,1.44,5.12,6.73,1,0.09991919999999982,0.4619228000000001,0.13603300000000007,0.36478403,0.2703779,0.36483803
20250524_AC Milan_Monza,2025-05-24 18:45:00,ITA-Serie A,2425,AC Milan,Monza,1,2,0,1.99268,0.516606,1.3200434,1.1140728,0.2059705999999999,1.8538877,1.2754337,0.578454,1.078813415282158,Monza,AC Milan,0,0,2,0.516606,1.99268,0.9974962000000002,1.856032,-0.8585358,0.9311155,1.8810728,-0.9499572999999996,0.7517856251070624,1.44,5.12,6.73,1,-0.37248340000000013,0.0914214999999996,0.9227722,0.2785803,0.6080607,0.11335901
20250524_Rayo Vallecano_Mallorca,2025-05-24 19:00:00,ESP-La Liga,2425,Rayo Vallecano,Mallorca,1,0,0,2.11982,0.747939,1.1129434000000002,1.6932744,-0.5803309999999997,0.9825679,1.8499337,-0.8673658000000001,1.2212884002333069,Mallorca,Rayo Vallecano,0,0,0,0.747939,2.11982,0.7710734,2.599628,-1.8285546,0.9623876,1.6603192,-0.6979316000000001,0.9351731722507935,1.44,5.12,6.73,0,0.28703480000000037,-1.130623,0.02018030000000004,0.18476276,0.31223306,0.5030042
20250524_Getafe_Celta Vigo,2025-05-24 19:00:00,ESP-La Liga,2425,Getafe,Celta Vigo,1,1,2,0.35897,1.30818,1.2446822,1.6161278,-0.3714455999999999,1.3221747,1.3760721,-0.0538973999999998,0.7563291323535896,Celta Vigo,Getafe,0,2,1,1.30818,0.35897,2.0021342,2.1005374,-0.0984031999999999,1.7353757,1.5886166,0.1467590999999999,0.9796143972660232,1.44,5.12,6.73,2,-0.31754820000000006,-0.24516229999999978,-0.41320100000000015,0.29427934,0.20258303,0.50313765
20250524_Alaves_Osasuna,2025-05-24 19:00:00,ESP-La Liga,2425,Alaves,Osasuna,1,1,1,1.57466,1.88098,1.131192,0.7378426,0.3933493999999999,1.1472055,1.1209386,0.0262668999999999,0.6101778537691339,Osasuna,Alaves,0,1,1,1.88098,1.57466,1.4029561999999998,1.101489,0.3014671999999998,1.423788,1.5156148,-0.0918267999999999,0.9832917658445176,1.44,5.12,6.73,0,0.3670825,0.3932939999999997,-0.27658249999999995,0.25980598,0.41559166,0.3246023
20250525_Girona_Atletico Madrid,2025-05-25 12:00:00,ESP-La Liga,2425,Girona,Atletico Madrid,1,0,4,0.0503369,3.10637,1.2070206,1.256171,-0.0491504,1.111633,1.5030589,-0.3914259000000002,0.8096189933017522,Atletico Madrid,Girona,0,4,0,3.10637,0.0503369,2.3471338,0.8470642000000002,1.5000695999999998,1.9881072,1.0349803,0.9531269,1.0059814651938963,1.34,5.82,8.37,2,0.34227550000000023,0.5469426999999998,-0.8764741999999999,0.21664375,0.23176315,0.5515931
20250525_Villarreal_Sevilla,2025-05-25 14:15:00,ESP-La Liga,2425,Villarreal,Sevilla,1,4,2,1.28805,1.64829,2.037534,1.197779,0.8397549999999998,1.723294,1.5462643,0.1770296999999998,1.0445106612622912,Sevilla,Villarreal,0,2,4,1.64829,1.28805,1.4603792,0.8994164000000001,0.5609627999999999,1.2254152,1.1002155,0.1251997,0.6528394189663888,1.34,5.82,8.37,1,0.6627253,0.43576309999999985,0.49787880000000007,0.16493951,0.6617286,0.1733319
20250525_Wolverhampton Wanderers_Brentford,2025-05-25 15:00:00,ENG-Premier League,2425,Wolverhampton Wanderers,Brentford,1,1,1,1.10889,1.97196,1.1099477999999998,1.2291906,-0.1192428000000003,1.3045849,1.3027048999999995,0.0018800000000003,1.2264428122364346,Brentford,Wolverhampton Wanderers,0,1,1,1.97196,1.10889,2.362858,1.0761119999999995,1.2867460000000004,1.7537066,1.3215579000000002,0.4321486999999997,0.9693748262253068,1.34,5.82,8.37,0,-0.1211228000000006,0.8545973000000007,-0.44912169999999985,0.21149535,0.23829605,0.5502086
20250525_Newcastle United_Everton,2025-05-25 15:00:00,ENG-Premier League,2425,Newcastle United,Everton,1,0,1,1.1591,1.07279,2.188312,1.1349564,1.0533555999999995,2.324604,1.1547401000000002,1.1698638999999995,0.9463973449252668,Everton,Newcastle United,0,1,0,1.07279,1.1591,1.3092238000000005,1.2101306,0.0990932000000002,1.2414565,1.0503342999999998,0.1911222000000001,0.886055301933413,1.34,5.82,8.37,2,-0.11650830000000001,-0.0920289999999999,1.0831475,0.16498356,0.74756795,0.08744847
