id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away
20211107_Everton_Tottenham,2021-11-07 14:00:00,ENG-Premier League,2122,Everton,Tottenham,1,0,0,0.597906,0.801798,1.596329,1.7355446,-0.1392156000000002,1.633498,1.3524365,0.2810615000000001,0.9794924882108896,Tottenham,Everton,0,0,0,0.801798,0.597906,1.2284368,1.2570795999999995,-0.0286427999999998,1.06328816,1.5979154,-0.5346272400000001,0.8464301469978308,2.9257894736842105,3.392631578947368,3.488421052631579
20211107_Arsenal_Watford,2021-11-07 14:00:00,ENG-Premier League,2122,Arsenal,Watford,1,1,0,1.49208,0.491659,1.630836,1.197361,0.4334749999999998,1.3709364000000002,1.7341901,-0.3632536999999998,0.8753134898792607,Watford,Arsenal,0,0,1,0.491659,1.49208,1.0710305999999998,2.30025,-1.2292194000000003,1.031903,1.8680238,-0.8361208,1.1628988743138895,1.54,4.433684210526316,8.544736842105262
20211107_West Ham_Liverpool,2021-11-07 16:30:00,ENG-Premier League,2122,West Ham,Liverpool,1,3,2,1.25298,1.45641,1.958226,0.9423188,1.0159072000000002,1.8926637,1.1281729,0.7644907999999999,1.0567112072201696,Liverpool,West Ham,0,2,3,1.45641,1.25298,2.4615376,1.4304464,1.0310911999999997,2.5988568,1.1046316,1.4942252,1.1158748277801116,3.0710526315789473,3.3394736842105264,3.0805263157894736
20211120_Aston Villa_Brighton,2021-11-20 15:00:00,ENG-Premier League,2122,Aston Villa,Brighton,1,2,0,1.06946,0.582787,0.9842436,2.207738,-1.2234944,1.0060638,1.6705105,-0.6644467000000001,1.1927661120834363,Brighton,Aston Villa,0,0,2,0.582787,1.06946,1.2804560000000005,1.3448102,-0.0643541999999997,1.129471,1.2031831,-0.0737120999999998,0.8853694469628287,2.789473684210526,3.3342105263157897,3.226842105263158
20211120_Newcastle United_Brentford,2021-11-20 15:00:00,ENG-Premier League,2122,Newcastle United,Brentford,1,3,3,2.18388,1.23275,0.523525,1.712352,-1.188827,0.8762127000000002,1.8313651,-0.9551523999999998,1.141274097859917,Brentford,Newcastle United,0,3,3,1.23275,2.18388,1.5434324,1.3020712,0.2413612,1.5560497,1.1116555,0.4443942000000001,0.7069178401449259,2.312105263157895,3.3131578947368423,3.8242105263157895
20211120_Liverpool_Arsenal,2021-11-20 17:30:00,ENG-Premier League,2122,Liverpool,Arsenal,1,4,0,3.97374,0.268025,2.3013476,1.0929264,1.2084211999999996,2.5657698,1.0965996,1.4691702,1.0912899936346614,Arsenal,Liverpool,0,0,4,0.268025,3.97374,1.640254,1.0996596,0.5405944,1.4177594,1.594538,-0.1767786,0.916939138658408,1.6636842105263157,3.8426315789473686,7.0
20211121_Tottenham_Leeds,2021-11-21 16:30:00,ENG-Premier League,2122,Tottenham,Leeds,1,2,1,2.31744,1.46689,1.1927632,1.0876628,0.1051003999999999,1.03745396,1.447121,-0.40966704,0.7711178131530646,Leeds,Tottenham,0,1,2,1.46689,2.31744,1.3734486,0.8678874000000001,0.5055612,1.263328,1.5475487,-0.2842207000000001,0.7915594433437371,1.9742105263157894,3.488421052631579,5.1147368421052635
20211127_Arsenal_Newcastle United,2021-11-27 12:30:00,ENG-Premier League,2122,Arsenal,Newcastle United,1,2,0,2.84493,0.185383,1.6209970000000002,1.6713055999999995,-0.0503085999999994,1.381552,1.62778,-0.2462279999999999,0.9409700532661432,Newcastle United,Arsenal,0,0,2,0.185383,2.84493,0.7872576,1.727204,-0.9399464,1.0314377,1.8362141,-0.8047763999999997,1.260375434817406,1.54,4.433684210526316,8.544736842105262
20211127_Liverpool_Southampton,2021-11-27 15:00:00,ENG-Premier League,2122,Liverpool,Southampton,1,4,0,3.07278,0.966132,2.906222,0.9378934,1.9683286,2.6991988,1.0543557,1.6448431,1.1114405091464514,Southampton,Liverpool,0,0,4,0.966132,3.07278,1.438684,0.5891561999999999,0.8495277999999999,1.427252,1.0788730999999998,0.3483789000000001,0.6305819640946629,1.6636842105263157,3.8426315789473686,7.0
20211128_Chelsea_Manchester United,2021-11-28 16:30:00,ENG-Premier League,2122,Chelsea,Manchester United,1,1,1,2.34525,0.563367,2.2194112,0.6440622,1.575349,1.9465756000000003,1.0402871,0.9062885000000004,1.284305996486344,Manchester United,Chelsea,0,1,1,0.563367,2.34525,1.2388802,2.589516,-1.3506357999999998,1.4781844000000002,1.9927072,-0.5145227999999997,0.9471071761363627,1.3473684210526315,5.2,12.465789473684211
20211130_Newcastle United_Norwich,2021-11-30 19:30:00,ENG-Premier League,2122,Newcastle United,Norwich,1,1,1,1.15636,1.51084,0.6952025999999999,1.986174,-1.2909713999999997,0.930899,1.7746711000000002,-0.8437721000000002,1.1816521645719198,Norwich,Newcastle United,0,1,1,1.51084,1.15636,0.7859532,1.6988534000000002,-0.9129002000000002,0.7925123,1.7631542,-0.9706419,0.7570850861430339,2.312105263157895,3.3131578947368423,3.8242105263157895
20211201_West Ham_Brighton,2021-12-01 19:30:00,ENG-Premier League,2122,West Ham,Brighton,1,1,1,1.14679,1.2607,1.2519328,1.3714118,-0.1194789999999998,1.4044711,1.2796439,0.1248271999999999,0.9968158142835304,Brighton,West Ham,0,1,1,1.2607,1.14679,1.3197634,1.4266299999999998,-0.1068665999999998,1.1301895,1.2010216,-0.0708321,0.7078452703327448,3.0710526315789473,3.3394736842105264,3.0805263157894736
