league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
E0,218,Wolves,Newcastle,home,0.23910876605092188,4.6,0.09990032383424063,0.006937522488488934,False
E0,220,Brighton,Bournemouth,away,0.30739746982686694,3.75,0.152740511850751,0.013885501077341,False
E0,225,Bournemouth,Liverpool,away,0.5674651254474619,1.89,0.0725090870957028,0.020367721094298543,False
E0,223,Fulham,Brighton,home,0.39924743261696993,2.54,0.014088478847103625,0.0022870907219324065,True
E0,222,Burnley,Tottenham,away,0.5508739098167776,2.05,0.12929151512439407,0.03078369407723669,False
E0,224,Man City,Wolves,draw,0.15242470555103482,6.68,0.018197033080912473,0.0008009257518007299,False
E0,224,Man City,Wolves,away,0.09463168298741706,12.0,0.1355801958490046,0.00308136808747738,False
E0,227,Crystal Palace,Chelsea,home,0.33431338238886443,3.5,0.17009683836102552,0.017009683836102553,False
E0,226,Brentford,Nott'm Forest,away,0.29917624353554645,4.02,0.20268849901289654,0.016778849256034494,True
E0,229,Arsenal,Man United,home,0.6606293733745632,1.55,0.02397552873057296,0.010897967604805889,False
E0,230,Everton,Leeds,home,0.5296316003113778,2.48,0.3134863687722169,0.05,False
E0,231,Brighton,Everton,away,0.26489603192807054,4.13,0.0940206118629312,0.007509633535377901,False
E0,233,Wolves,Bournemouth,home,0.3413439152547248,2.95,0.006964550001438141,0.0008928910258254168,False
E0,234,Chelsea,West Ham,away,0.19519543748957133,6.05,0.18093239681190654,0.008957049347124086,False
E0,232,Leeds,Arsenal,away,0.7578125505448647,1.54,0.1670313278390918,0.05,True
E0,236,Aston Villa,Brentford,away,0.30771845216258986,3.46,0.064705844482561,0.0065757972035122856,True
E0,239,Tottenham,Man City,away,0.599016462622891,1.71,0.02431815108514357,0.008562729255332243,False
E0,238,Nott'm Forest,Crystal Palace,away,0.3452095937321099,3.88,0.33941322368058646,0.029462953444495354,False
E0,237,Man United,Fulham,draw,0.26096160548584496,4.32,0.12735413569885035,0.00958991985684114,False
E0,237,Man United,Fulham,away,0.3396760121723727,5.2,0.7663152632963381,0.045614003767639175,False
E0,241,Leeds,Nott'm Forest,away,0.5068794612261411,3.37,0.7081837843320957,0.05,False
E0,248,Newcastle,Brentford,home,0.5293699522493213,2.05,0.08520840211110858,0.020287714788359165,False
E0,246,Fulham,Everton,away,0.2820514543355622,3.64,0.0266672937814465,0.0025253119111218274,True
E0,245,Burnley,West Ham,home,0.30820963042583926,3.28,0.010927587796752736,0.001198200416310607,False
E0,247,Wolves,Chelsea,home,0.2560102082070158,4.9,0.25445002021437757,0.01631089873169087,False
E0,242,Man United,Tottenham,draw,0.23742709813477555,4.54,0.07791902553188113,0.0055027560403870775,False
E0,242,Man United,Tottenham,away,0.36846377362139426,4.97,0.8312649548983293,0.05,False
E0,250,Liverpool,Man City,away,0.3670953389633606,2.76,0.01318313553887518,0.0018726044799538767,True
E0,249,Brighton,Crystal Palace,away,0.3192520344077074,3.68,0.1748474866203633,0.016310399871302547,True
E0,254,West Ham,Man United,home,0.36225798708005597,4.36,0.5794448236690442,0.04311345414204197,False
E0,254,West Ham,Man United,draw,0.2580952955852882,4.23,0.09174310032576916,0.007100859158341273,True
E0,253,Tottenham,Newcastle,home,0.3345905981330217,3.18,0.06399810206300915,0.007339231887959765,False
E0,251,Chelsea,Leeds,home,0.7115287367667142,1.55,0.10286954198840714,0.046758882722003216,False
E0,252,Everton,Bournemouth,away,0.35193629362164514,2.91,0.024134614438987345,0.003158980947511432,True
E0,255,Aston Villa,Brighton,away,0.3067496453756646,3.79,0.16258115597376888,0.01456820394030188,False
E0,257,Man City,Fulham,away,0.13549315016564883,8.08,0.09478465333844266,0.003346915725227495,False
E0,256,Crystal Palace,Burnley,away,0.1770445027205201,6.18,0.09413502681281427,0.004543196274749718,True
E0,258,Nott'm Forest,Wolves,away,0.26702672672624483,5.09,0.35916603903658606,0.021953914366539498,False
E0,260,Brentford,Arsenal,home,0.21664891747923154,4.83,0.04641427142468846,0.003029652181768169,False
E0,261,Wolves,Arsenal,home,0.1464647448419985,10.94,0.6023243085714636,0.015149001724634396,False
E0,261,Wolves,Arsenal,draw,0.20234397927069256,5.48,0.10884500640339523,0.006073940089475186,True
E0,262,Aston Villa,Leeds,home,0.6767867997391352,1.84,0.24528771152000894,0.05,False
E0,265,West Ham,Bournemouth,away,0.393888867754292,2.71,0.06743883161413122,0.009859478306159552,False
E0,266,Man City,Newcastle,draw,0.2103203673078945,4.92,0.03477620715484098,0.0022178703542628103,False
E0,266,Man City,Newcastle,away,0.21080547283558315,5.82,0.2268878519030939,0.011768042111156328,False
